key,en,zh-cn,zh-tw,ko
track-slug,cloud-ml-apis,cloud-ml-apis-zh-cn,cloud-ml-apis-zh-tw,cloud-ml-apis-ko
track-title,Cloud ML APIs (en),Cloud ML API (zh-cn),Cloud ML API (zh-tw),Cloud ML API (ko)
track-teaser,Access Google's ready to use machine learning models.,使用 Google 现成可用的机器学习模型。,使用 Google 現成的機器學習模型。,즉시 사용 가능한 Google의 머신러닝 모델에 액세스합니다.
track-description,"# What are the Cloud Machine Learning APIs?
Cloud ML APIs provide access to use machine learning models. These APIs include Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translate, and many more.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# Cloud Machine Learning API 是什么？
Cloud ML API 可让您使用机器学习模型。这些 API 包括 Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech、Cloud Translate 等。
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# 什麼是 Cloud Machine Learning API？
Cloud ML API 系列提供了機器學習模型的使用介面。這些 API 包括 Cloud Vision、Cloud Video Intelligence、Cloud Natural Language、Cloud Speech 和 Cloud Translate 等等。
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)","# Cloud Machine Learning API란 무엇인가요?
Cloud ML API는 머신러닝 모델 액세스 권한을 제공하며 여기에는 Cloud Vision, Cloud Video Intelligence, Cloud Natural Language, Cloud Speech, Cloud Translate 등이 포함되어 있습니다.
![](https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/cloud-ml-apis.png)"
challenge-1-title,Level 1: Analyze an Image,第 1 关：分析图片,第 1 級：分析圖片,수준 1: 이미지 분석
challenge-1-teaser,Show you can detect information about an image.,展示您检测图片相关信息的能力。,證明您可以偵測圖片的相關資訊。,이미지 정보를 알아낼 수 있는지 보여주세요.
challenge-1-assignment,"<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
The image in file **doggo1.png** contains an adorable dog, yes, but what is his breed? Using **gcloud**, send this precious pup through Google''s Vision API and report back what the most prominent breed is.<br />When you think you know the answer, type **answer** and press ENTER.<br /><br />**Hint**: Type **gcloud ml vision** to get started.","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
文件 **doggo1.png** 包含一张可爱的狗狗图片，没错，但这是什么品种的狗狗呢？借助 **gcloud**，您可以通过 Google 的 Vision API 发送这张可爱的狗狗图片，然后该 API 便会报告这只狗狗最明显的品种特征。<br />当您认为自己找到了答案时，请输入 **answer** 并按 ENTER 键。<br /><br />**提示**：输入 **gcloud ml vision** 即可开始使用。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
**doggo1.png** 圖檔中出現了一隻可愛的小狗，請問它是什麼品種？請使用 **gcloud**，透過 Google 的 Vision API 這隻小寶貝的圖片，然後回報最可能的品種是什麼。<br />當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。<br /><br />**提示**：輸入 **gcloud ml vision** 即可開始。","<img src=""https://storage.googleapis.com/instruqt-shadow-resources/cloud-ml-apis/doggo1.png"" style=""float: left; padding-right: 36px"" />
**doggo1.png** 파일의 이미지에 귀여운 강아지 한 마리가 있습니다. 이 강아지는 무슨 종일까요? **gcloud**로 Google의 Vision API를 통해 이 귀여운 강아지의 이미지를 전송하고 가장 유력한 종이 무엇인지 다시 알려주세요.<br />답을 알고 있다면 **answer**를 입력한 후 Enter 키를 누르세요.<br /><br />**힌트**: 시작하려면 **gcloud ml vision**을 입력하세요."
challenge-2-title,Level 2: Transcribe Audio to Text,第 2 关：将音频转录为文本,第 2 級：將音訊轉錄為文字,수준 2: 오디오를 텍스트로 변환
challenge-2-teaser,Show you can detect information about some audio files.,展示您检测某些音频文件的相关信息的能力。,證明您可以偵測一些音訊檔案的相關資訊。,일부 오디오 파일 정보를 알아낼 수 있는지 보여주세요.
challenge-2-assignment,"There are three audio files: **quote1.wav**, **quote2.wav**, and **quote3.wav**. Test your pop culture knowledge by identifying the undeniably classic 90's movie these quotes are from. Convert the audio into text using the Speech to Text API and report back with the title of the film. \nWhen you think you know the answer, type **answer** and press ENTER.  \n**Hint**: Type **gcloud ml speech** to get started.",有三个音频文件，它们分别是 **quote1.wav**、**quote2.wav** 和 **quote3.wav**。请辨别这些台词引自哪些毋庸置疑的 90 年代经典影片，以测试您对流行文化的了解程度。您可以使用 Speech to Text API 将音频转换为文本，随后该 API 会返回相应影片的标题。\n如果您认为自己知道答案，请输入 **answer** 并按 ENTER 键。\n**提示**：输入 **gcloud ml speech** 即可开始使用。,共有三個音訊檔案：**quote1.wav**、**quote2.wav** 和 **quote3.wav**。告訴我們這些台詞是出自於哪些 90 年代的經典電影，測試一下您對流行文化的瞭解程度如何。請使用 Speech to Text API 將音訊轉換為文字，然後回報電影片名。\n當您認為自己知道答案時，請輸入 **answer**，然後按下 ENTER 鍵。\n **提示**：輸入 **gcloud ml speech** 即可開始。,"**quote1.wav**, **quote2.wav**, **quote3.wav**라는 3개의 오디오 파일이 있습니다. 이 영화대사가 등장한 90년대 고전 영화 제목을 알아맞춰 대중 문화에 대해 얼마나 잘 알고 있는지 테스트해 보세요. Speech-to-Text API를 사용해 오디오를 텍스트로 변환하고 영화 제목을 다시 알려주세요. \n답을 알고 있다면 **answer**를 입력한 후 Enter 키를 누르세요.  \n**힌트**: 시작하려면 **gcloud ml speech**를 입력하세요."
